name,type,brand,category,unit
Dettol Dairy 134g,Dairy,Dettol,Stationery,g
Parachute Juice 151g,Juice,Parachute,Stationery,piece
Teer Mobile 347g,Mobile,Teer,Personal Care,kg
Closeup Lentils 48g,Lentils,Closeup,Dairy,pack
Fresh Coffee 295g,Coffee,Fresh,Dairy,pack
Fun Foods Refrigerator 307g,Refrigerator,Fun Foods,Grocery,liter
Parachute Soap 244g,Soap,Parachute,Dairy,ml
Fun Foods Flour 171g,Flour,Fun Foods,Grocery,ml
Parachute Beverage 226g,Beverage,Parachute,Personal Care,piece
Unilever Toothpaste 276g,Toothpaste,Unilever,Stationery,ml
Singer Spice 471g,Spice,Singer,Personal Care,liter
Radhuni Juice 173g,Juice,Radhuni,Cooking Oil,liter
Teer Flour 71g,Flour,Teer,Personal Care,piece
Closeup Lentils 113g,Lentils,Closeup,Bakery,liter
Parachute Oil 124g,Oil,Parachute,Home Appliances,g
Radhuni Coffee 472g,Coffee,Radhuni,Drinks,piece
Closeup Tea 23g,Tea,Closeup,Spices,piece
Square Flour 27g,Flour,Square,Drinks,pack
Nihar Mobile 202g,Mobile,Nihar,Personal Care,liter
Dettol Sugar 65g,Sugar,Dettol,Bakery,pack
Fun Foods Television 267g,Television,Fun Foods,Personal Care,liter
Teer Dairy 20g,Dairy,Teer,Clothing,liter
ACI Cool Shampoo 228g,Shampoo,ACI Cool,Home Appliances,ml
Fresh Flour 295g,Flour,Fresh,Cooking Oil,g
Singer Television 333g,Television,Singer,Grocery,kg
Walton Toothpaste 478g,Toothpaste,Walton,Spices,kg
Dettol Beverage 495g,Beverage,Dettol,Cooking Oil,g
Pran Tea 455g,Tea,Pran,Home Appliances,piece
Square Coffee 35g,Coffee,Square,Personal Care,g
Teer Shampoo 264g,Shampoo,Teer,Stationery,piece
Parachute Juice 472g,Juice,Parachute,Spices,liter
Dettol Toothpaste 112g,Toothpaste,Dettol,Snacks,pack
Fun Foods Soap 59g,Soap,Fun Foods,Personal Care,pack
Square Noodles 35g,Noodles,Square,Stationery,liter
Dettol Sugar 357g,Sugar,Dettol,Home Appliances,piece
Teer Shampoo 130g,Shampoo,Teer,Dairy,kg
Unilever Sugar 493g,Sugar,Unilever,Home Appliances,liter
Fresh Oil 340g,Oil,Fresh,Spices,liter
Walton Mobile 108g,Mobile,Walton,Home Appliances,pack
ACI Cool Beverage 213g,Beverage,ACI Cool,Home Appliances,piece
Parachute Mobile 245g,Mobile,Parachute,Clothing,g
Closeup Food 109g,Food,Closeup,Drinks,ml
Unilever Beverage 272g,Beverage,Unilever,Dairy,kg
Unilever Coffee 85g,Coffee,Unilever,Spices,kg
Singer Soap 10g,Soap,Singer,Drinks,liter
Teer Toothpaste 429g,Toothpaste,Teer,Dairy,liter
Radhuni Noodles 11g,Noodles,Radhuni,Home Appliances,liter
Unilever Food 320g,Food,Unilever,Drinks,g
ACI Cool Detergent 414g,Detergent,ACI Cool,Personal Care,ml
Unilever Coffee 172g,Coffee,Unilever,Bakery,ml
ACI Shampoo 250g,Shampoo,ACI,Home Appliances,kg
Dettol Dairy 434g,Dairy,Dettol,Bakery,ml
ACI Cool Shampoo 269g,Shampoo,ACI Cool,Clothing,kg
Teer Spice 19g,Spice,Teer,Electronics,ml
ACI Biscuits 292g,Biscuits,ACI,Cooking Oil,liter
Singer Dairy 472g,Dairy,Singer,Bakery,ml
Radhuni Lentils 273g,Lentils,Radhuni,Grocery,g
Teer Coffee 275g,Coffee,Teer,Dairy,kg
Square Detergent 332g,Detergent,Square,Spices,ml
Pran Detergent 255g,Detergent,Pran,Personal Care,piece
Fresh Tea 477g,Tea,Fresh,Personal Care,kg
Walton Coffee 312g,Coffee,Walton,Home Appliances,kg
Fun Foods Mobile 66g,Mobile,Fun Foods,Drinks,ml
Closeup Flour 462g,Flour,Closeup,Electronics,pack
Walton Juice 277g,Juice,Walton,Bakery,pack
ACI Food 259g,Food,ACI,Clothing,g
Pran Coffee 25g,Coffee,Pran,Clothing,pack
Pran Noodles 162g,Noodles,Pran,Electronics,pack
Fun Foods Tea 428g,Tea,Fun Foods,Spices,kg
Unilever Tea 311g,Tea,Unilever,Home Appliances,kg
Closeup Mobile 428g,Mobile,Closeup,Snacks,pack
Dettol Oil 133g,Oil,Dettol,Stationery,kg
Parachute Soap 492g,Soap,Parachute,Grocery,kg
Radhuni Toothpaste 345g,Toothpaste,Radhuni,Dairy,g
Fun Foods Oil 161g,Oil,Fun Foods,Drinks,kg
Dettol Biscuits 121g,Biscuits,Dettol,Drinks,pack
